First Name,Last Name,Email Address,Party,Tags,Name on Envelope,RSVP Status
John,Smith,john.smith@email.com,Smith Family,Bride Side|VIP,Mr. and Mrs. John Smith,Attending
Jane,Smith,jane.smith@email.com,Smith Family,Bride Side|VIP,Mr. and Mrs. John Smith,Attending
Michael,Johnson,michael.j@email.com,Johnson Party,Groom Side|Family,The Johnson Family,Attending
Sarah,Williams,sarah.w@email.com,Williams Party,Bride Side|Friends,Ms. Sarah Williams,Not Attending
Robert,Brown,robert.b@email.com,Brown Family,Groom Side|Colleagues,Dr. Robert Brown,Attending
Emily,Davis,emily.d@email.com,Davis Party,Bride Side|Family,Emily Davis and Guest,Pending
David,Miller,david.m@email.com,Miller Family,Groom Side,Mr. David Miller,Attending
Jennifer,Wilson,jennifer.w@email.com,Wilson Party,Friends,Jennifer Wilson,Attending
Christopher,Moore,chris.m@email.com,Moore Party,Colleagues|VIP,Mr. Christopher Moore,Attending
Amanda,Taylor,amanda.t@email.com,Taylor Family,Bride Side|VIP,Ms. Amanda Taylor,Pending
